"","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MoSold","YrSold","SaleType","SalePrice"
"1","RL",141,31770,"Pave","No Alley","IR1","Lvl","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",1960,1960,"Hip","CompShg","Other","Other","Stone",112,"TA","TA","CBlock","TA","Gd","Gd","BLQ",639,"Unf",0,441,1080,"GasA","Fa","Y","SB",1656,0,0,1656,1,0,1,0,3,1,"TA",7,"Typ",2,"Gd","A",1960,"Fin",2,528,"TA","TA","P",210,62,0,0,0,0,"No Pool","No Fence","No Feature",5,2010,"Warranty Deed",215000
"2","Other",80,11622,"Pave","No Alley","Reg","Lvl","Inside","Gtl","NAmes","Feedr","Norm","1Fam","1Story",1961,1961,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No Exposure","Rec",468,"LwQ",144,270,882,"GasA","TA","Y","SB",896,0,0,896,0,0,1,0,2,1,"TA",5,"Typ",0,"No Fireplace","A",1961,"Unf",1,730,"TA","TA","Y",140,0,0,0,120,0,"No Pool","MnPrv","No Feature",6,2010,"Warranty Deed",105000
"3","RL",81,14267,"Pave","No Alley","IR1","Lvl","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",1958,1958,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",108,"TA","TA","CBlock","TA","TA","No Exposure","ALQ",923,"Unf",0,406,1329,"GasA","TA","Y","SB",1329,0,0,1329,0,0,1,1,3,1,"Gd",6,"Typ",0,"No Fireplace","A",1958,"Unf",1,312,"TA","TA","Y",393,36,0,0,0,0,"No Pool","No Fence","Feature",6,2010,"Warranty Deed",172000
"4","RL",93,11160,"Pave","No Alley","Reg","Lvl","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",1968,1968,"Hip","CompShg","Other","Other","None",0,"Gd","TA","CBlock","TA","TA","No Exposure","ALQ",1065,"Unf",0,1045,2110,"GasA","Ex","Y","SB",2110,0,0,2110,1,0,2,1,3,1,"Ex",8,"Typ",2,"TA","A",1968,"Fin",2,522,"TA","TA","Y",0,0,0,0,0,0,"No Pool","No Fence","No Feature",4,2010,"Warranty Deed",244000
"5","RL",74,13830,"Pave","No Alley","IR1","Lvl","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",1997,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No Exposure","GLQ",791,"Unf",0,137,928,"GasA","Gd","Y","SB",928,701,0,1629,0,0,2,1,3,1,"TA",6,"Typ",1,"TA","A",1997,"Fin",2,482,"TA","TA","Y",212,34,0,0,0,0,"No Pool","MnPrv","No Feature",3,2010,"Warranty Deed",189900
"6","RL",78,9978,"Pave","No Alley","IR1","Lvl","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",1998,1998,"Gable","CompShg","VinylSd","VinylSd","BrkFace",20,"TA","TA","PConc","TA","TA","No Exposure","GLQ",602,"Unf",0,324,926,"GasA","Ex","Y","SB",926,678,0,1604,0,0,2,1,3,1,"Gd",7,"Typ",1,"Gd","A",1998,"Fin",2,470,"TA","TA","Y",360,36,0,0,0,0,"No Pool","No Fence","No Feature",6,2010,"Warranty Deed",195500
"7","RL",41,4920,"Pave","No Alley","Reg","Lvl","Inside","Gtl","StoneBr","Norm","Norm","TwnhsE","1Story",2001,2001,"Gable","CompShg","Other","Other","None",0,"Gd","TA","PConc","Gd","TA","Mn","GLQ",616,"Unf",0,722,1338,"GasA","Ex","Y","SB",1338,0,0,1338,1,0,2,0,2,1,"Gd",6,"Typ",0,"No Fireplace","A",2001,"Fin",2,582,"TA","TA","Y",0,0,170,0,0,0,"No Pool","No Fence","No Feature",4,2010,"Warranty Deed",213500
"8","RL",43,5005,"Pave","No Alley","IR1","HLS","Inside","Gtl","StoneBr","Norm","Norm","TwnhsE","1Story",1992,1992,"Gable","CompShg","HdBoard","HdBoard","None",0,"Gd","TA","PConc","Gd","TA","No Exposure","ALQ",263,"Unf",0,1017,1280,"GasA","Ex","Y","SB",1280,0,0,1280,0,0,2,0,2,1,"Gd",5,"Typ",0,"No Fireplace","A",1992,"RFn",2,506,"TA","TA","Y",0,82,0,0,144,0,"No Pool","No Fence","No Feature",1,2010,"Warranty Deed",191500
"9","RL",39,5389,"Pave","No Alley","IR1","Lvl","Inside","Gtl","StoneBr","Norm","Norm","TwnhsE","1Story",1995,1996,"Gable","CompShg","Other","Other","None",0,"Gd","TA","PConc","Gd","TA","No Exposure","GLQ",1180,"Unf",0,415,1595,"GasA","Ex","Y","SB",1616,0,0,1616,1,0,2,0,2,1,"Gd",5,"Typ",1,"TA","A",1995,"RFn",2,608,"TA","TA","Y",237,152,0,0,0,0,"No Pool","No Fence","No Feature",3,2010,"Warranty Deed",236500
"10","RL",60,7500,"Pave","No Alley","Reg","Lvl","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",1999,1999,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No Exposure","Unf",0,"Unf",0,994,994,"GasA","Gd","Y","SB",1028,776,0,1804,0,0,2,1,3,1,"Gd",7,"Typ",1,"TA","A",1999,"Fin",2,442,"TA","TA","Y",140,60,0,0,0,0,"No Pool","No Fence","No Feature",6,2010,"Warranty Deed",189000
"11","RL",75,10000,"Pave","No Alley","IR1","Lvl","Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story",1993,1994,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","No Exposure","Unf",0,"Unf",0,763,763,"GasA","Gd","Y","SB",763,892,0,1655,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","A",1993,"Fin",2,440,"TA","TA","Y",157,84,0,0,0,0,"No Pool","No Fence","No Feature",4,2010,"Warranty Deed",175900
"12","RL",64,7980,"Pave","No Alley","IR1","Lvl","Inside","Gtl","Gilbert","Norm","Norm","1Fam","1Story",1992,2007,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","Gd","PConc","Gd","TA","No Exposure","ALQ",935,"Unf",0,233,1168,"GasA","Ex","Y","SB",1187,0,0,1187,1,0,2,0,3,1,"TA",6,"Typ",0,"No Fireplace","A",1992,"Fin",2,420,"TA","TA","Y",483,21,0,0,0,0,"No Pool","GdPrv","Feature",3,2010,"Warranty Deed",185000
"13","RL",63,8402,"Pave","No Alley","IR1","Lvl","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",1998,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No Exposure","Unf",0,"Unf",0,789,789,"GasA","Gd","Y","SB",789,676,0,1465,0,0,2,1,3,1,"TA",7,"Typ",1,"Gd","A",1998,"Fin",2,393,"TA","TA","Y",0,75,0,0,0,0,"No Pool","No Fence","No Feature",5,2010,"Warranty Deed",180400
"14","RL",85,10176,"Pave","No Alley","Reg","Lvl","Inside","Gtl","Gilbert","Norm","Norm","1Fam","1Story",1990,1990,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","Gd","GLQ",637,"Unf",0,663,1300,"GasA","Gd","Y","SB",1341,0,0,1341,1,0,1,1,2,1,"Gd",5,"Typ",1,"Po","A",1990,"Unf",2,506,"TA","TA","Y",192,0,0,0,0,0,"No Pool","No Fence","No Feature",2,2010,"Warranty Deed",171500
"15","RL",60,6820,"Pave","No Alley","IR1","Lvl","Corner","Gtl","StoneBr","Norm","Norm","TwnhsE","1Story",1985,1985,"Gable","CompShg","HdBoard","HdBoard","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",368,"BLQ",1120,0,1488,"GasA","TA","Y","SB",1502,0,0,1502,1,0,1,1,1,1,"Gd",4,"Typ",0,"No Fireplace","A",1985,"RFn",2,528,"TA","TA","Y",0,54,0,0,140,0,"No Pool","No Fence","No Feature",6,2010,"Warranty Deed",212000
"16","RL",152,12134,"Pave","No Alley","IR1","Bnk","Inside","Not Gtl","Gilbert","Norm","Norm","1Fam","1.5Fin",1988,2005,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Gd","TA","Wood","Gd","TA","Av","GLQ",427,"Unf",0,132,559,"GasA","Gd","Y","SB",1080,672,0,1752,0,0,2,0,4,1,"TA",8,"Typ",0,"No Fireplace","BM",1988,"RFn",2,492,"TA","TA","Y",325,12,0,0,0,0,"No Pool","No Fence","No Feature",6,2010,"Warranty Deed",164000
"17","RL",88,11394,"Pave","No Alley","Reg","Lvl","Corner","Gtl","StoneBr","Norm","Norm","1Fam","1Story",2010,2010,"Hip","CompShg","VinylSd","VinylSd","Stone",350,"Gd","TA","PConc","Ex","TA","Av","GLQ",1445,"Unf",0,411,1856,"GasA","Ex","Y","SB",1856,0,0,1856,1,0,1,1,1,1,"Ex",8,"Typ",1,"Ex","A",2010,"Fin",3,834,"TA","TA","Y",113,0,0,0,0,0,"No Pool","No Fence","No Feature",6,2010,"New",394432
"18","RL",140,19138,"Pave","No Alley","Reg","Lvl","Corner","Gtl","Gilbert","Norm","Norm","1Fam","1Story",1951,1951,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No Exposure","LwQ",120,"Unf",0,744,864,"GasA","Ex","Y","SB",864,0,0,864,0,0,1,0,2,1,"TA",4,"Typ",0,"No Fireplace","D",1951,"Unf",2,400,"TA","TA","Y",0,0,0,0,0,0,"No Pool","No Fence","No Feature",6,2010,"Warranty Deed",141000
"19","RL",85,13175,"Pave","No Alley","Reg","Lvl","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",1978,1988,"Gable","CompShg","Other","Other","Stone",119,"TA","TA","CBlock","Gd","TA","No Exposure","ALQ",790,"Rec",163,589,1542,"GasA","TA","Y","SB",2073,0,0,2073,1,0,2,0,3,1,"TA",7,"Min1",2,"TA","A",1978,"Unf",2,500,"TA","TA","Y",349,0,0,0,0,0,"No Pool","MnPrv","No Feature",2,2010,"Warranty Deed",210000
"20","RL",105,11751,"Pave","No Alley","IR1","Lvl","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",1977,1977,"Hip","CompShg","Other","Other","BrkFace",480,"TA","TA","CBlock","Gd","TA","No Exposure","BLQ",705,"Unf",0,1139,1844,"GasA","Ex","Y","SB",1844,0,0,1844,0,0,2,0,3,1,"TA",7,"Typ",1,"TA","A",1977,"RFn",2,546,"TA","TA","Y",0,122,0,0,0,0,"No Pool","MnPrv","No Feature",1,2010,"Other",190000
"21","RL",85,10625,"Pave","No Alley","Reg","Lvl","Inside","Gtl","NWAmes","Norm","Norm","1Fam","SFoyer",1974,1974,"Gable","CompShg","Other","Other","BrkFace",81,"TA","TA","CBlock","Gd","TA","Gd","GLQ",885,"LwQ",168,0,1053,"GasA","TA","Y","SB",1173,0,0,1173,1,0,2,0,3,1,"Gd",6,"Typ",2,"TA","A",1974,"RFn",2,528,"TA","TA","Y",0,120,0,0,0,0,"No Pool","MnPrv","No Feature",1,2010,"Warranty Deed",170000
"22","Other",72.5,7500,"Pave","No Alley","Reg","Lvl","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story",2000,2000,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No Exposure","GLQ",533,"Unf",0,281,814,"GasA","Ex","Y","SB",814,860,0,1674,1,0,2,1,3,1,"Gd",7,"Typ",0,"No Fireplace","A",2000,"RFn",2,663,"TA","TA","Y",0,96,0,0,0,0,"No Pool","No Fence","No Feature",1,2010,"Warranty Deed",216000
"23","RL",73,11241,"Pave","No Alley","IR1","Lvl","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",1970,1970,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",180,"TA","TA","CBlock","TA","TA","No Exposure","ALQ",578,"Unf",0,426,1004,"GasA","Ex","Y","SB",1004,0,0,1004,1,0,1,0,2,1,"TA",5,"Typ",1,"TA","A",1970,"Fin",2,480,"TA","TA","Y",0,0,0,0,0,0,"No Pool","No Fence","Feature",3,2010,"Warranty Deed",149000
"24","RL",73,12537,"Pave","No Alley","IR1","Lvl","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",1971,2008,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No Exposure","GLQ",734,"Unf",0,344,1078,"GasA","Ex","Y","SB",1078,0,0,1078,1,0,1,1,3,1,"TA",6,"Typ",1,"Fa","A",1971,"Fin",2,500,"TA","TA","Y",0,0,0,0,0,0,"No Pool","No Fence","No Feature",4,2010,"Warranty Deed",149900
"25","RL",65,8450,"Pave","No Alley","Reg","Lvl","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",1968,1968,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No Exposure","BLQ",775,"Unf",0,281,1056,"GasA","Ex","Y","SB",1056,0,0,1056,1,0,1,0,3,1,"TA",6,"Typ",1,"Fa","A",1968,"Unf",1,304,"TA","TA","Y",0,85,184,0,0,0,"No Pool","No Fence","No Feature",7,2010,"Warranty Deed",142000
"26","RL",70,8400,"Pave","No Alley","Reg","Lvl","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",1970,1970,"Gable","CompShg","Other","Other","None",0,"TA","TA","CBlock","TA","TA","No Exposure","ALQ",804,"Rec",78,0,882,"GasA","TA","Y","SB",882,0,0,882,1,0,1,0,2,1,"TA",4,"Typ",0,"No Fireplace","A",1970,"Fin",2,525,"TA","TA","Y",240,0,0,0,0,0,"No Pool","MnPrv","No Feature",4,2010,"Warranty Deed",126000
"27","RL",70,10500,"Pave","No Alley","Reg","Lvl","FR2","Gtl","NAmes","Norm","Norm","1Fam","1Story",1971,1971,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No Exposure","ALQ",432,"Unf",0,432,864,"GasA","TA","Y","SB",864,0,0,864,0,0,1,0,3,1,"TA",5,"Typ",1,"Po","None",0,"None",0,0,"Other","None","Y",0,0,0,0,0,0,"No Pool","No Fence","No Feature",4,2010,"Other",115000
