symbol,Industry,avg200603,avg200604,avg200605,avg200606,avg200607,avg200608,avg200609,avg200610,avg200611,avg200612,avg200701,avg200702,avg200703,avg200704,avg200705,avg200706,avg200707,avg200708,avg200709,avg200710,avg200711,avg200712,avg200801,avg200802,avg200803,avg200804,avg200805,avg200806,avg200807,avg200808,avg200809,avg200810,avg200811,avg200812,avg200901,avg200902,avg200903,avg200904,avg200905,avg200906,avg200907,avg200908,avg200909,avg200910,avg200911,avg200912,avg201001,avg201002,avg201003,avg201004,avg201005,avg201006,avg201007,avg201008,avg201009,avg201010,avg201011,avg201012,avg201101,avg201102,avg201103,avg201104,avg201105,avg201106,avg201107,avg201108,avg201109,avg201110,avg201111,avg201112,avg201201,avg201202,avg201203,avg201204,avg201205,avg201206,avg201207,avg201208,avg201209,avg201210,avg201211,avg201212,avg201301,avg201302,avg201303,avg201304,avg201305,avg201306,avg201307,avg201308,avg201309,avg201310,avg201311,avg201312,avg201401,avg201402,avg201403,avg201404,avg201405,avg201406,avg201407,avg201408,avg201409,avg201410,avg201411,avg201412,avg201501,avg201502,avg201503,avg201504,avg201505,avg201506,avg201507,avg201508,avg201509,avg201510,avg201511,avg201512,avg201601,avg201602
A,Health Care,0.039333728,0.016401063,-0.094682681,-0.090490259,-0.103653463,0.135237602,0.016478452,0.095076671,-0.061946638,0.088520205,-0.0863112,-0.013365033,0.081863832,0.022005702,0.108179046,0.006548801,-0.012143974,-0.043362199,0.006559552,-0.004329908,0.030814955,-0.023214029,-0.07662883,-0.098530497,-0.027423971,0.008693526,0.236423197,-0.046544737,0.028538052,-0.037078986,-0.147902857,-0.243508667,-0.149121519,-0.150383237,0.158972823,-0.218857407,0.131617076,0.209001747,-0.000546625,0.106092089,0.141382612,0.087671598,0.090550382,-0.070219201,0.169362653,0.068042597,-0.105044851,0.117186006,0.09417749,0.04979474,-0.113699103,-0.115051291,-0.020000713,-0.049381433,0.218692289,0.038163593,0.000571704,0.161850683,0.006256583,0.000475627,0.067652382,0.111185545,-0.00855829,0.026711764,-0.175873808,-0.137632442,-0.149729786,0.20064493,0.063565905,-0.062734697,0.186385871,0.005301015,0.020356128,-0.052349608,-0.03164235,0.001892431,-0.027911569,-0.036758915,0.042734505,-0.064936357,0.064929579,0.06166278,0.063316044,-0.079859725,0.021610282,-0.009562897,0.098502584,-0.05937038,0.038318625,0.02482984,0.089498143,0.001183452,0.052042642,0.069571564,0.018388951,-0.020980257,-0.003563721,-0.038434302,0.05561726,0.008427019,-0.028576428,0.024923814,-0.004368216,-0.027616504,0.071177941,-0.040993208,-0.082807188,0.113720231,-0.018658503,-0.002170767,-0.005312751,-0.068790683,0.052969968,-0.112658779,-0.027478669,0.100233042,0.104304228,-0.008301684,-0.08304917,-0.000535215
AA,Materials,0.040889848,0.098826083,-0.070154693,0.017605999,-0.095683359,-0.041422139,-0.025758245,0.031387165,0.075859149,-0.038483769,0.08055895,0.029195648,0.035767869,0.042253382,0.165353613,-0.02173913,-0.060226665,-0.035713866,0.074280253,0.013831761,-0.073706078,0.001096727,-0.093524547,0.107632415,-0.030936922,-0.035347995,0.168155081,-0.119320209,-0.043936279,-0.045153195,-0.288819578,-0.487698473,-0.090553112,0.109046816,-0.316019578,-0.179822559,0.209917473,0.268533322,0.012888857,0.081933534,0.118087219,-0.010810672,0.090454135,-0.068857076,0.000775097,0.265891416,-0.22647219,0.027659609,0.074717923,-0.065976462,-0.135717699,-0.119862342,0.107927804,-0.098100716,0.163303865,0.074340953,-0.001522572,0.153549186,0.045461066,0.013161647,0.042527406,-0.044406837,-0.026077923,-0.046306669,-0.076926048,-0.152303545,-0.24526928,0.14558298,-0.018696135,-0.129909976,0.137737303,-0.011654143,-0.022455776,-0.021127209,-0.117476138,0.041766911,-0.032000828,0.00941225,0.03387953,-0.039174137,-0.023202865,0.024852506,-0.004503341,-0.040040424,0.00828779,-0.001175281,0.009331936,-0.080890599,0.015326334,-0.033835822,0.042362003,0.144444444,0.032223416,0.104989605,0.093067426,0.019097222,0.114285714,0.04015444,0.011895911,0.081336238,0.097789618,0.021525277,-0.033052827,0.039057721,0.030393324,-0.092528736,-0.013862634,-0.065107459,-0.126436782,0.03950426,-0.074074074,-0.110845295,-0.11875,-0.037678208,0.055737705,-0.080329557,0.045810056,0.043340381,-0.234243697,0.2100271
AAPL,Information Technology,-0.087448451,0.107115057,-0.158681221,-0.042606486,0.179764395,0.009372113,0.124140831,0.078695483,0.128606711,-0.0756981,-0.006141943,-0.018438405,0.104723984,0.059691631,0.216488316,0.007928356,0.090186487,0.034122734,0.095800554,0.226974647,-0.034430468,0.088857227,-0.32358419,-0.081078022,0.151577503,0.189681954,0.078653799,-0.111057184,-0.034084366,0.059495656,-0.342466652,-0.034672573,-0.127789539,-0.061426658,0.055595253,0.007744576,0.192943784,0.206335253,0.07583349,0.045214129,0.139517886,0.018279135,0.101617109,0.018018218,0.053218117,0.041936566,-0.09816817,0.064505612,0.141931099,0.100410546,-0.024980709,-0.032151922,0.013609953,-0.066480277,0.147461015,0.050944575,0.028595904,0.022801972,0.040628227,0.035100669,-0.019181989,-0.004017899,-0.007091406,-0.038424371,0.166272224,-0.033568361,-0.011579833,0.0655673,-0.039836771,0.058966665,0.115295241,0.182705634,0.093961947,-0.029674924,-0.012057345,0.025358659,0.04462348,0.084583884,0.002269847,-0.112247513,-0.017485181,-0.105028138,-0.176228301,-0.032265006,0.011277543,0.001923681,0.019258212,-0.118691002,0.123507828,0.075968411,-0.033157604,0.092486124,0.061161736,0.005412167,-0.099121853,0.047014517,0.025447985,0.097310982,0.069256809,-0.853413461,0.022241243,0.080084276,-0.022414109,0.073665417,0.098965061,-0.070953633,0.051800027,0.088183005,-0.03729207,0.002643823,0.033148303,-0.037227503,-0.044129227,-0.07193414,0.001361788,0.095626662,-0.020695364,-0.113599983,-0.051359565,0.002280512
ABC,Health Care,0.04453811,-0.10847291,0.011935793,-0.043326713,0.024800568,0.028525911,0.015505539,0.039004247,-0.024994126,-0.025733513,0.162600306,0.004541664,0.019921651,-0.058370223,0.023149397,-0.037389906,-0.051871698,0.017524469,-0.056666384,0.047354876,-0.030191013,-0.004446643,0.04699847,-0.099316667,-0.010126295,-0.020267065,0.011380448,-0.028410886,0.055851379,-0.017620674,-0.091789806,-0.157849317,0.006278943,0.184767565,0.008610427,-0.107918199,0.047327108,0.041410832,0.103154509,-0.050011569,0.103079378,0.079918754,0.054666779,-0.008943778,0.113302822,0.053334181,0.036896704,0.025236268,0.034332678,0.06415934,0.010306361,0.023846971,-0.052482873,-0.096596779,0.116532982,0.062779967,-0.058052032,0.094351485,0.046993186,0.052723588,0.045744274,0.022643227,0.01431901,0.007544112,-0.073966185,0.032794817,-0.055218126,0.1007826,-0.056765651,0.005401023,0.032565392,-0.04512674,0.066683318,-0.062719356,0.002200738,0.07312389,0.000756391,-0.029734326,0.004149672,0.016755382,0.073368702,0.018654895,0.040365963,0.04337172,0.090002509,0.052938522,0.004761056,0.033697463,0.038139369,-0.025008599,0.0633484,0.067832658,0.075972476,-0.006780661,-0.041220938,0.010725473,-0.022649456,-0.006402409,0.130018495,-0.008866376,0.058346032,0.005587318,-0.002709315,0.092059904,0.061065204,-0.00529562,0.049001236,0.075232835,0.108218758,0.003247635,-0.022237708,-0.05735309,-0.013249958,-0.053995262,-0.026243003,0.016001727,0.011588524,0.049271582,-0.124621252,-0.027942969
ABT,Health Care,-0.038707745,0.017037895,-0.001169203,0.019183366,0.100906394,0.026554257,-0.005737692,0.001318561,-0.010808539,0.039660763,0.091154826,0.040193406,0.036652712,0.020688905,-0.00406692,-0.049333036,-0.054017685,0.027544418,0.033581802,0.026309774,0.053152895,-0.02266576,0.005435888,-0.050859699,0.031666543,-0.038872705,0.072082204,-0.054056547,0.073342769,0.019876921,-0.008601483,-0.031833763,-0.049525909,0.050489595,0.040546102,-0.120170697,0.022705279,-0.102412004,0.0731994,0.038408765,-0.034470877,0.003550203,0.096719466,0.031503842,0.072395668,-0.01351519,-0.015374644,0.023347223,-0.030899933,-0.02251574,-0.074844047,-0.013066592,0.065442822,-0.008651823,0.050480968,-0.015697748,-0.096034947,0.021323878,-0.055507604,0.063522106,0.018471341,0.070622257,-0.000766362,0.007850951,-0.014143679,0.014736914,-0.021948635,0.066577672,0.029659322,0.037267531,-0.034511499,0.043677546,0.081800764,0.022066209,-0.002899865,0.053638489,0.04094175,-0.012194262,0.051485368,-0.035793349,-0.010036713,0.002919883,0.047634103,-0.002653324,0.047465431,0.052196538,-0.002719684,-0.046408679,0.05113253,-0.096747913,-0.014548723,0.101899343,0.040883076,0.002353556,-0.037542662,0.08747941,-0.025063342,0.006495193,0.035187476,0.021989055,0.022826591,0.005714333,-0.013753807,0.036623092,0.02180893,0.016941495,-0.010828773,0.054306677,-0.021334981,0.001942499,0.040462407,0.006356408,0.026113299,-0.110041228,-0.090456805,0.110285036,0.000891199,-0.006855396,-0.138598114,0.071053474
ACN,Information Technology,-0.082416133,-0.033266022,-0.030670401,0.007107062,0.052973513,0.024610026,0.066105425,0.055326569,0.029663552,0.094380102,0.032284755,-0.054320627,0.101566885,0.019546083,0.050756799,0.047188015,-0.011733083,-0.02045296,-0.025455626,-0.019088426,-0.112712427,0.044926573,-0.052779009,0.031906856,-0.000285018,0.067937309,0.087931796,0.003449723,0.049713001,-0.010040107,-0.092628541,-0.111512535,-0.06742662,0.095795426,-0.035033637,-0.0650218,-0.037413273,0.079605348,0.008106899,0.10971285,0.054386311,-0.063988044,0.122706883,0.0155653,0.108648377,0.006544526,-0.013237568,-0.028182395,0.048226341,0.043464638,-0.135818298,0.036749268,0.033629729,-0.090118606,0.150122132,0.025295957,-0.026694356,0.107606768,0.057337387,-0.005988097,0.060570989,0.051195071,0.004552171,0.051514115,-0.01661439,-0.103055827,-0.017141922,0.1603984,0.014883479,-0.077109198,0.063797935,0.027418892,0.078917264,0.015027578,-0.119351965,0.064063249,0.009532458,0.021509196,0.137987185,-0.025507893,0.008752178,-0.026122956,0.063915025,0.025797726,0.025495588,0.080774362,0.010313076,-0.127182347,0.018284689,-0.026411535,0.012651237,-0.000543935,0.048450427,0.061999524,-0.019877337,0.04161461,-0.034399189,0.007788983,0.015839324,-0.003205943,-0.022320842,0.028027902,0.00457076,-0.000739061,0.065407911,0.039939463,-0.06289728,0.06645346,0.040653149,-0.009726336,0.029147032,0.006238293,0.054941714,-0.086265399,0.069438455,0.088656402,0.001307424,-0.026004297,0.028454472,-0.042863943
ADBE,Information Technology,-0.092159917,0.115406481,-0.269476373,0.061715481,-0.06795165,0.143661972,0.151152074,0.017021277,0.048614741,0.022659363,-0.045923379,0.00848111,0.083116883,0.000721848,0.057553957,-0.092881356,0.003486056,0.061057334,0.018920813,0.102351314,-0.117068063,0.020520162,-0.187412587,-0.029394813,0.059190958,0.017735334,0.15075639,-0.10507164,0.052176126,0.025131642,-0.099497946,-0.31516404,-0.136295743,-0.059004844,-0.089403974,-0.135497166,0.312269939,0.303435115,0.033455882,0.001413428,0.142706131,-0.036798528,0.055306905,0.000912131,0.073983491,0.039199098,-0.118256131,0.070392096,0.021657522,-0.054228716,-0.046601365,-0.183220234,0.081671058,-0.047749914,-0.070007107,0.069908815,-0.014883062,0.093039773,0.070988655,0.037593985,-0.044917938,0.000596659,0.027315914,-0.088908196,-0.114586658,-0.097063037,-0.044575937,0.233054393,-0.038582953,0.051243966,0.08060014,0.0542188,0.045343883,-0.016988869,-0.075915451,0.063157895,-0.029190207,0.009661836,0.039052497,0.042624962,0.018485915,0.08079356,-0.00433925,0.030366492,0.106707317,0.039437269,-0.047186531,0.062834536,0.045102808,-0.039470922,0.123999137,0.040691038,0.039736275,0.055340128,0.002201117,0.161645137,-0.034087571,-0.063884717,0.046198769,0.121165167,-0.039395147,0.041877987,-0.039827867,0.014320932,0.053625054,-0.012764829,-0.035350758,0.12294145,-0.065706306,0.03328348,0.036701992,0.018993736,0.005148927,-0.043927963,0.066822382,0.075709854,0.027294171,0.02097598,-0.028767572,-0.034142489
ADI,Information Technology,-0.003646875,-0.017596526,-0.107009533,-0.046546509,0.005909394,-0.041668876,-0.045204265,0.079011828,0.024616051,-0.004542133,-0.004553164,0.107784387,-0.030943801,0.116795337,-0.059156737,0.038067847,-0.060495255,0.046778854,-0.022174167,-0.077240023,-0.080141849,0.028653131,-0.090090738,-0.035842051,0.107521487,0.084705919,0.098986355,-0.09334661,-0.030801263,-0.077566093,-0.065179125,-0.181539499,-0.202050722,0.153464592,0.051577432,-0.052235515,0.064708642,0.125926547,0.16958624,-0.003619938,0.100885283,0.033836686,-0.017096357,-0.070002101,0.167575547,0.056123299,-0.150675584,0.080959551,-0.010376625,0.03137912,-0.026935035,-0.038304167,0.066759072,-0.068941696,0.114581333,0.068823311,0.048926102,0.04580798,0.029457873,0.020465237,-0.003956139,0.012053502,0.021116031,-0.04419148,-0.119303318,-0.049175784,-0.054079902,0.152928208,-0.011413064,0.032302985,0.074052478,-0.005828165,0.035114821,-0.035654201,-0.06210473,0.056492888,0.03819659,0.015054691,-0.010354063,-0.005335974,0.039918138,0.035558394,0.019168048,0.035400759,0.033552975,-0.049264162,0.04680956,-0.016543317,0.098444444,-0.066370809,0.001703172,0.047376227,-0.029388064,0.065481194,-0.025242326,0.053701016,0.050612829,-0.041308393,0.019462826,0.031673345,-0.076994588,0.030437371,-0.031506772,0.005471145,0.098954101,0.019089574,-0.064116361,0.123608508,0.071246368,-0.015756835,0.089975961,-0.061686914,-0.103718497,-0.043984238,0.039815668,0.066903303,0.023924274,-0.109035271,-0.007005918,-0.007306088
ADM,Consumer Staples,0.05926765,0.046908596,0.128747089,-0.021318479,0.053955347,-0.072569659,-0.085708237,0.014518287,-0.085023908,-0.093385728,-0.007124437,0.004763213,0.090126552,0.056721016,-0.048045254,-0.055919676,-0.006798525,-0.004630922,-0.02480162,0.078901565,0.026342798,0.270491703,-0.050666841,0.021783749,-0.086887949,0.072087889,-0.097788743,-0.152065355,-0.142943668,-0.113184113,-0.137539912,-0.046439913,0.316202362,0.098175088,-0.049999043,0.002676197,0.055872844,-0.097623816,0.121465959,-0.04090432,0.116752563,-0.054137373,0.018485205,0.037866103,0.026393786,0.002559863,-0.047969479,-0.017662369,-0.020687215,-0.034517197,-0.100238509,0.031141248,0.052249202,0.12064782,0.022079483,0.045782521,-0.13052548,0.023842158,0.079642611,0.070961253,-0.041777025,0.008165397,-0.126806214,-0.072023637,0.000327525,-0.07760268,-0.128772378,0.175870412,0.101936417,-0.051374772,-0.021212885,0.072714127,0.007324336,-0.02683941,0.023604663,-0.059010987,-0.099139031,0.029859164,0.014552145,-0.017208834,-0.002352532,0.021655358,0.01510788,0.114031975,0.064356797,0.006821421,-0.039317165,0.051377283,0.068894752,-0.041122032,0.039796782,0.111413128,-0.019010456,0.07612199,-0.086534033,0.033604863,0.080966619,0.007139613,0.027434772,-0.017375763,0.047640572,0.076192507,0.022408924,-0.081493026,0.1151566,-0.012533232,-0.106704979,0.023295575,-0.010025042,0.030136986,0.080556083,-0.088296428,-0.026483289,-0.051244119,-0.057526126,0.095226699,-0.203449002,-0.003260842,-0.021046884,0.005464452
ADP,Information Technology,-0.002928997,-0.040698122,0.01746363,-0.000778795,-0.034178891,0.082762734,0.001366292,0.043231718,-0.023480644,0.023308546,-0.020327659,0.030639661,-0.012604847,0.015872973,0.089375499,-0.020865438,-0.047970996,-0.008460935,0.007389704,0.078414188,-0.084906664,-0.005666277,-0.087639745,-0.019415077,0.071173206,0.035905025,-0.027765555,-0.01599319,0.032406559,0.041069718,-0.042790079,-0.174649582,0.164822991,-0.030962903,-0.082282281,-0.054560652,0.057475358,0.017095821,0.080319866,-0.057062875,0.054563144,0.031468871,0.033318325,0.017615207,0.089428229,-0.014797218,-0.063851426,0.020333979,0.07555178,-0.02406145,-0.064030862,-0.002294229,0.028905761,-0.071496736,0.09362575,0.053778693,0.002692784,0.027805505,0.023743155,0.040150276,0.033299327,0.058398814,0.009714908,-0.033521681,-0.019216116,-0.035161695,-0.053222724,0.122294316,-0.007571597,0.065387495,-0.002364582,-0.02021037,0.01827005,0.008710333,-0.042392891,0.091722563,0.021652915,0.025026452,0.02067761,-0.014492375,-0.036785465,0.00560898,0.022053816,0.026052474,0.069424464,0.040828302,0.024202068,0.011704521,0.04706566,0.009218678,0.005557029,0.033755783,0.061977478,0.010631644,-0.044530411,0.015272117,0.002725503,0.011810461,0.021931433,-0.004645298,0.021225695,0.032273982,-0.007170089,0.119813777,0.050797534,-0.021249084,-0.005423042,0.085798044,-0.036453624,-0.013880811,0.011593553,-0.063827237,0.003269966,-0.016159767,0.064935092,0.075145145,-0.008391723,-0.024075533,0.00192929,0.049182371
